business_id,promoter_credit_score,commercial_assets_value,bank_asset_value,gst_monthly_turnover_inr,gst_filing_regularity_score,upi_txn_frequency_monthly,upi_txn_volume_inr_monthly,epfo_contribution_consistency_months,aa_linked_accounts_count,financial_health_score,financial_health_category
976,305,11600000,12000000,685953.0,21.2,24,855990.0,2.0,4,44.7,Fair
977,546,7000000,10600000,731153.0,45.4,25,,4.0,5,56.8,Excellent
978,833,4100000,9100000,540740.0,84.8,11,1035905.0,12.0,4,62.1,Good
979,421,1500000,1400000,168949.0,0.0,16,206360.0,,2,42.8,Fair
980,639,1100000,4300000,566419.0,76.5,32,601627.0,,3,53.4,Fair
981,735,3700000,3100000,267205.0,86.1,8,319637.0,12.0,2,61.8,Good
982,377,4900000,2700000,213520.0,0.0,3,,,3,42.4,Fair
983,310,3600000,4800000,567476.0,0.0,24,873851.0,0.0,3,36.2,Poor
984,695,1700000,4600000,387417.0,63.1,33,416643.0,,5,60.2,Good
985,355,300000,200000,19978.0,0.0,0,,,3,32.7,Poor
986,525,1100000,5500000,321541.0,27.2,25,267764.0,,3,43.8,Fair
987,330,700000,500000,,,2,45864.0,0.0,2,24.3,Poor
988,625,15400000,11100000,972396.0,51.9,41,1281040.0,11.0,5,61.3,Good
989,644,500000,400000,55479.0,49.4,1,58849.0,,2,54.5,Fair
990,865,6200000,3500000,370279.0,71.8,33,271344.0,,3,47.6,Fair
991,661,6000000,6400000,3570092.0592464036,100.0,15,323554.0,5.0,4,39.1,Poor
992,884,1700000,1500000,158023.0,100.0,10,120784.0,,5,62.8,Good
993,803,16600000,9600000,810713.0,76.3,57,901602.0,11.0,4,67.1,Good
994,800,14800000,7800000,687374.0,94.7,51,750410.0,11.0,2,67.5,Good
995,796,3500000,2000000,244399.0,96.6,2,230782.0,12.0,3,54.1,Fair
996,716,2800000,1400000,,,3,112432.0,7.0,3,41.1,Fair
997,479,500000,600000,37958.0,19.2,3,18267.0,8.0,2,32.6,Poor
998,810,4300000,10700000,781402.0,100.0,24,551120.0,11.0,4,70.6,Good
999,568,700000,5300000,743683.0,39.6,17,685457.0,3.0,2,47.6,Fair
1000,842,1300000,1900000,221788.0,73.1,18,154400.0,9.0,2,54.8,Fair
1001,806,5600000,3000000,251815.0,100.0,3,184376.0,,3,44.1,Fair
1002,722,7300000,3000000,435916.0,99.5,11,685937.0,5.0,4,46.9,Fair
1003,442,9800000,8200000,931128.0,74.1,40,778408.0,3.0,3,56.2,Fair
1004,360,600000,4400000,244607.0,0.0,1,246360.0,1.0,2,34.6,Poor
1005,461,400000,2800000,,,4,115884.0,,4,44.7,Fair
1006,735,4600000,6900000,701361.0,71.1,20,447311.0,,4,54.6,Fair
1007,761,1300000,1600000,199801.0,97.1,17,215147.0,,4,45.6,Fair
1008,653,4600000,5400000,376169.0,37.8,8,493098.0,12.0,3,50.8,Fair
1009,726,14600000,5500000,,,43,1201475.0,8.0,5,58.2,Fair
1010,617,15500000,11700000,848883.0,44.0,51,1761856.0,5.0,4,54.0,Fair
1011,460,4100000,4100000,502071.0,32.1,5,452538.0,,3,40.3,Fair
1012,306,800000,800000,103235.0,0.0,2,99712.0,,3,30.9,Poor
1013,471,100000,300000,,,1,20000.0,,3,32.4,Poor
1014,628,3300000,2700000,409773.0,78.4,18,619252.0,4.0,3,46.2,Fair
1015,404,6700000,11500000,991537.0,31.7,42,820469.0,0.0,3,56.9,Fair
1016,804,300000,7100000,,,20,942012.0,9.0,5,62.0,Good
1017,804,2500000,800000,118321.0,98.0,2,69891.0,11.0,2,56.0,Fair
1018,502,2600000,1400000,,,23,188570.0,6.0,3,42.6,Fair
1019,861,13200000,5600000,931282.0,100.0,43,799339.0,10.0,5,73.5,Good
1020,555,2700000,1700000,242427.0,36.3,12,241498.0,,3,48.6,Fair
1021,351,3700000,7600000,435582.0,28.1,9,946210.0,0.0,4,33.8,Poor
1022,358,2900000,10900000,640629.0,41.2,9,580313.0,,4,33.2,Poor
1023,836,10100000,5400000,829551.0,100.0,43,933066.0,10.0,5,54.3,Fair
1024,554,1000000,1600000,,,4,88363.0,12.0,2,51.7,Fair
1025,443,1800000,8100000,815327.0,11.2,23,717186.0,,3,42.8,Fair
1026,725,5100000,4800000,534909.0,100.0,28,881353.0,,3,60.0,Good
1027,818,3500000,2100000,148779.0,89.9,12,162777.0,,3,57.8,Fair
1028,670,12600000,6500000,1007086.0,68.6,68,1785237.0,12.0,5,67.5,Good
1029,414,2400000,5600000,496754.0,36.3,4,218574.0,,3,41.5,Fair
1030,887,18300000,11700000,931971.0,100.0,61,1288995.0,12.0,4,65.6,Good
1031,409,1400000,8700000,,,27,448492.0,0.0,2,37.3,Poor
1032,679,2100000,1600000,89433.0,65.0,1,,,3,47.3,Fair
1033,478,600000,300000,,,3,49341.0,,3,29.3,Poor
1034,752,500000,700000,43148.0,96.9,2,33995.0,,2,44.6,Fair
1035,616,5000000,7800000,845248.0,67.8,28,756148.0,10.0,5,49.0,Fair
1036,842,6700000,5300000,339957.0,92.5,0,498496.0,12.0,3,58.8,Fair
1037,840,11300000,5300000,683724.0,100.0,45,1178230.0,12.0,4,62.7,Fair
1038,430,8000000,5300000,663040.0,23.1,21,479683.0,,3,47.2,Fair
1039,351,2300000,2700000,213483.0,0.0,3,241903.0,3.0,4,40.9,Fair
1040,347,0,200000,41721.0,0.0,2,33636.0,,3,28.1,Poor
1041,576,7500000,11900000,779188.0,33.2,23,929048.0,5.0,4,45.1,Fair
1042,799,6100000,4200000,326305.0,84.7,16,570003.0,9.0,4,47.9,Excellent
1043,550,3800000,4700000,,,20,253359.0,4.0,3,47.3,Fair
1044,878,5400000,4500000,496440.0,88.9,10,603630.0,,4,59.9,Fair
1045,895,300000,3300000,175925.0,100.0,3,157750.0,,3,57.0,Fair
1046,603,2900000,11000000,,,23,681369.0,6.0,3,53.6,Fair
1047,325,1600000,3600000,198598.0,2.5,10,158657.0,,2,42.1,Fair
1048,393,3700000,2600000,,,1,566903.0,9.0,5,30.4,Poor
1049,612,4600000,5600000,960334.0,53.1,38,349048.0,7.0,4,50.0,Fair
1050,553,1000000,1300000,,,3,48595.0,,3,41.7,Fair
1051,389,1400000,3600000,,,3,164197.0,4.0,5,31.2,Poor
1052,782,3400000,2400000,151225.0,90.7,12,196186.0,12.0,3,47.2,Fair
1053,493,5100000,2000000,,,16,154684.0,0.0,2,51.2,Fair
1054,629,0,4200000,,,4,436763.0,,3,43.9,Excellent
1055,419,10900000,6600000,568282.0,27.3,40,854925.0,,3,38.6,Fair
1056,444,4300000,5500000,486941.0,31.4,36,344564.0,0.0,4,38.2,Poor
1057,301,9900000,7100000,578981.0,2.8,24,572397.0,0.0,5,45.9,Fair
1058,479,6400000,5400000,333463.0,24.6,7,277721.0,2.0,3,41.0,Fair
1059,424,4200000,1500000,,,1,189739.0,1.0,3,33.6,Poor
1060,469,5800000,6200000,353484.0,40.8,11,351467.0,,2,40.1,Good
1061,897,5500000,1800000,298296.0,75.2,29,247655.0,12.0,2,62.1,Good
1062,477,200000,400000,,,1,20480.0,6.0,3,39.7,Poor
1063,509,300000,900000,43664.0,34.6,5,36611.0,4.0,3,42.2,Fair
1064,752,1100000,400000,52379.0,86.1,3,42690.0,,4,46.5,Fair
1065,875,4700000,7700000,467859.0,100.0,31,495147.0,12.0,5,60.1,Good
1066,343,1100000,1500000,126411.0,0.0,3,92599.0,0.0,3,45.1,Fair
1067,819,11900000,8000000,,,33,1257013.0,12.0,3,68.6,Good
1068,433,0,3700000,341603.0,16.7,6,401472.0,,1,37.9,Poor
1069,768,100000,0,,,2,10028.0,,1,34.2,Poor
1070,714,900000,5600000,738412.0,68.6,33,849841.0,10.0,3,53.7,Fair
1071,531,2900000,4100000,,,1,390626.0,2.0,4,37.7,Poor
1072,529,3300000,5200000,297165.0,23.7,15,225463.0,,4,41.0,Fair
1073,448,7100000,8000000,543322.0,36.3,19,816158.0,3.0,2,40.5,Fair
1074,584,2700000,3400000,198957.0,21.6,10,235939.0,9.0,4,45.6,Fair
1075,501,9400000,4400000,634473.0,27.7,21,557032.0,7.0,4,49.4,Fair
1076,848,3500000,8200000,,,6,418708.0,12.0,4,57.9,Fair
1077,586,8800000,12400000,768990.0,82.7,35,1336963.0,,5,48.1,Fair
1078,386,5000000,3800000,495332.0,12.8,22,483594.0,0.0,4,41.0,Fair
1079,301,4900000,6200000,964301.0,0.0,32,1579659.0,2.0,4,39.4,Poor
1080,653,3100000,4600000,275260.0,28.3,2,,,3,40.6,Fair
1081,448,100000,100000,18842.0,29.2,0,,,3,36.2,Poor
1082,696,9400000,6500000,406941.0,82.8,21,326208.0,,5,51.9,Fair
1083,707,1100000,6700000,622217.0,80.4,23,1425837.0,,3,53.7,Fair
1084,429,10800000,6000000,879828.0,28.3,22,760522.0,4.0,4,47.3,Fair
1085,631,200000,6200000,768338.0,81.3,20,995206.0,12.0,3,52.1,Fair
1086,446,3500000,13200000,885930.0,18.5,49,507006.0,3.0,4,48.0,Fair
1087,705,5100000,6300000,713174.0,89.4,17,1247503.0,,4,50.6,Fair
1088,709,12500000,4000000,644472.0,44.6,34,328658.0,10.0,3,60.6,Good
1089,739,9000000,4400000,703920.0,62.9,36,702192.0,,4,58.5,Fair
1090,336,5800000,7500000,,,30,279847.0,0.0,3,45.0,Fair
1091,898,4000000,10200000,851053.0,100.0,37,1509298.0,12.0,3,71.3,Good
1092,558,1000000,300000,42707.0,46.9,11,27241.0,7.0,2,48.6,Good
1093,589,2700000,6100000,,,28,508960.0,,5,44.1,Fair
1094,301,1400000,2400000,300388.0,4.1,4,347069.0,,4,41.3,Fair
1095,516,5000000,7700000,463921.0,23.7,11,281173.0,,3,47.6,Fair
1096,315,700000,1400000,78747.0,2.0,2,98700.0,,2,35.1,Poor
1097,546,10000000,5100000,571787.0,18.7,36,624985.0,6.0,3,54.3,Fair
1098,559,1100000,6000000,371286.0,72.4,1,628946.0,,2,49.1,Fair
1099,350,3100000,6800000,3943517.081549796,6.1,8,575230.0,0.0,3,33.3,Poor
1100,583,4100000,6900000,586249.0,43.3,33,474336.0,5.0,3,55.8,Poor
1101,874,3700000,4800000,342259.0,100.0,12,296769.0,12.0,4,62.9,Good
1102,808,3100000,5000000,272048.0,68.8,22,290198.0,,3,50.1,Fair
1103,487,1100000,2000000,131622.0,15.1,2,141654.0,3.0,2,37.6,Poor
1104,870,5300000,2100000,217005.0,82.3,17,281306.0,,4,54.1,Fair
1105,840,200000,1500000,105147.0,95.5,4,71943.0,,3,46.2,Fair
1106,682,8900000,5300000,701045.0,77.0,32,1087276.0,8.0,5,62.6,Good
1107,668,4500000,10900000,749602.0,80.2,23,1006429.0,6.0,5,48.3,Fair
1108,781,6800000,4300000,388224.0,100.0,20,467691.0,,3,51.8,Fair
1109,375,14500000,11900000,745292.0,0.0,30,1131299.0,,4,56.6,Fair
1110,857,9500000,3500000,,,25,750629.0,,3,61.4,Good
1111,823,1800000,6500000,691317.0,83.8,34,486326.0,12.0,5,64.6,Good
1112,686,1900000,1500000,,,2,109242.0,,4,55.3,Fair
1113,721,600000,900000,122011.0,64.9,7,126529.0,,4,53.7,Fair
1114,545,2400000,6300000,383207.0,29.1,14,608516.0,0.0,3,47.3,Poor
1115,523,5600000,1800000,237730.0,71.9,15,402155.0,,2,45.4,Fair
1116,607,7600000,5400000,804955.0,71.4,42,651831.0,12.0,3,57.9,Fair
1117,428,3500000,2500000,343964.0,25.5,16,573947.0,,2,40.2,Fair
1118,666,10200000,7800000,759788.0,90.8,55,1551452.0,11.0,4,61.7,Good
1119,704,4800000,3900000,,,18,201187.0,8.0,3,52.1,Fair
1120,794,15500000,8800000,800256.0,64.8,38,795085.0,8.0,3,63.8,Poor
1121,430,12600000,13900000,1027354.0,0.0,63,1296135.0,2.0,5,61.8,Good
1122,615,200000,200000,13849.0,45.0,4,8238.0,,2,38.0,Poor
1123,360,5100000,7800000,588935.0,16.2,13,787121.0,0.0,3,41.5,Fair
1124,458,9200000,10000000,9138279.141511345,32.2,36,1133581.0,5.0,3,52.2,Fair
1125,887,9400000,3300000,515082.0,100.0,25,838080.0,12.0,4,67.2,Good
1126,735,14200000,9500000,630666.0,53.1,38,984196.0,11.0,4,62.1,Good
1127,379,600000,3400000,,,2,77640.0,0.0,4,29.2,Poor
1128,544,11400000,11100000,914391.0,49.6,55,1803065.0,6.0,4,56.4,Fair
1129,721,9700000,7500000,508562.0,89.3,25,826967.0,4.0,4,59.0,Fair
1130,676,400000,2200000,173194.0,34.2,1,160577.0,9.0,3,54.3,Fair
1131,342,100000,200000,19624.0,15.7,1,15911.0,,2,32.3,Poor
1132,566,17300000,11500000,1086093.0,27.7,68,1914300.0,11.0,5,68.2,Good
1133,355,1600000,2900000,297200.0,5.2,0,221102.0,0.0,4,31.5,Poor
1134,605,5500000,5800000,412771.0,65.5,21,964530.0,8.0,4,45.5,Fair
1135,525,2900000,1600000,121693.0,43.6,4,78759.0,,3,45.0,Fair
1136,403,0,800000,56535.0,5.4,4,61429.0,,1,38.5,Poor
1137,727,10500000,5300000,898756.0,77.2,60,1323279.0,12.0,3,60.9,Good
1138,529,3900000,5800000,696350.0,15.1,35,698685.0,7.0,3,45.9,Fair
1139,415,4200000,2000000,231254.0,43.5,1,163255.0,0.0,3,31.9,Poor
1140,879,1100000,8200000,545836.0,99.9,44,544586.0,,3,63.6,Good
1141,649,5300000,5100000,508999.0,83.7,27,711454.0,,3,53.0,Fair
1142,395,4300000,2400000,248989.0,9.9,8,251714.0,,3,37.3,Poor
1143,488,6000000,9700000,,,15,1246919.0,,4,52.0,Fair
1144,569,200000,300000,,,4,9345.0,,3,38.1,Poor
1145,817,13100000,8200000,791303.0,100.0,58,714620.0,,4,65.7,Good
1146,706,10900000,4300000,542578.0,60.7,18,,,4,62.3,Good
1147,553,3500000,10300000,,,13,457047.0,6.0,3,61.9,Good
1148,464,300000,700000,57628.0,24.5,2,40612.0,0.0,4,34.4,Poor
1149,729,10700000,9100000,709840.0,41.9,8,615345.0,,5,55.2,Fair
1150,363,6800000,4400000,,,2,334933.0,0.0,4,34.4,Poor
1151,565,1300000,6300000,401300.0,27.7,11,347240.0,1.0,3,49.7,Fair
1152,421,11600000,4600000,596731.0,24.5,25,375397.0,0.0,4,40.8,Excellent
1153,512,15600000,6300000,918249.0,18.3,47,2028817.0,5.0,4,53.3,Fair
1154,730,3900000,4600000,257725.0,94.3,10,469143.0,,3,52.9,Fair
1155,627,500000,300000,45469.0,58.1,9,16755.0,,3,51.8,Fair
1156,434,4100000,4100000,,,6,330909.0,,2,47.8,Fair
1157,410,4400000,4100000,,,16,494232.0,0.0,4,34.7,Poor
1158,624,2300000,1900000,109695.0,76.5,2,120898.0,,2,55.2,Fair
1159,656,7400000,8400000,516067.0,64.4,13,608352.0,8.0,3,47.9,Fair
1160,758,4600000,9100000,669552.0,68.6,33,464554.0,,3,60.4,Good
1161,336,9500000,7800000,561586.0,0.0,42,885572.0,0.0,4,37.7,Poor
1162,378,3400000,9600000,783768.0,4.0,7,657170.0,,4,40.7,Fair
1163,620,2800000,900000,136814.0,47.4,1,52842.0,9.0,2,42.5,Fair
1164,593,600000,2500000,325707.0,55.7,9,354730.0,9.0,3,56.0,Fair
1165,710,10300000,7800000,971123.0,67.9,37,689968.0,11.0,4,61.5,Good
1166,753,800000,3600000,486759.0,94.0,13,631053.0,,2,56.4,Fair
1167,454,3400000,11400000,723048.0,18.6,32,665957.0,,3,40.2,Fair
1168,619,12200000,6600000,787901.0,57.3,34,,9.0,5,49.1,Fair
1169,367,16600000,9300000,891762.0,35.8,57,1258410.0,6.0,4,45.4,Fair
1170,384,1200000,1800000,108133.0,23.6,1,87895.0,,3,38.3,Poor
1171,610,300000,1300000,127663.0,55.7,1,80713.0,,5,43.8,Fair
1172,802,3300000,3200000,3432945.4340705164,79.3,13,,,4,63.9,Good
1173,858,10900000,8100000,584826.0,88.5,27,690582.0,10.0,5,65.2,Good
1174,599,9500000,6700000,517849.0,39.5,37,392986.0,3.0,2,52.5,Fair
1175,395,3000000,9700000,857637.0,9.6,10,1203022.0,7.0,5,47.7,Fair
1176,380,15100000,6400000,711111.0,30.3,33,864986.0,0.0,4,46.4,Fair
1177,803,9800000,6600000,674502.0,86.3,38,803296.0,11.0,4,68.4,Good
1178,809,1500000,3200000,,,14,304226.0,12.0,3,59.4,Fair
1179,722,3300000,3000000,179879.0,100.0,18,172322.0,,3,57.6,Fair
1180,392,4300000,13000000,869966.0,24.6,18,2005374.0,0.0,4,49.5,Fair
1181,545,3000000,3400000,318368.0,20.1,20,232996.0,4.0,2,53.5,Fair
1182,799,3100000,4300000,669070.0,81.7,27,361888.0,8.0,3,64.6,Good
1183,727,10100000,5300000,592903.0,79.1,19,571451.0,,4,67.8,Good
1184,530,3400000,7100000,568831.0,73.5,20,825573.0,6.0,4,45.7,Fair
1185,637,13900000,6100000,814821.0,41.5,40,526891.0,10.0,5,63.1,Good
1186,561,3800000,3900000,670901.0,65.8,27,832525.0,8.0,2,43.0,Fair
1187,421,2700000,3400000,341365.0,49.1,3,217350.0,,4,46.1,Fair
1188,459,4100000,9100000,761327.0,19.2,19,1309200.0,1.0,4,47.4,Fair
1189,828,4200000,3600000,611886.0,89.7,35,604441.0,,3,66.6,Good
1190,679,7500000,6300000,872179.0,50.1,22,868799.0,7.0,4,68.3,Good
1191,455,11500000,9500000,759155.0,26.1,23,500743.0,2.0,3,53.3,Fair
1192,879,1400000,2300000,186157.0,100.0,15,390086.0,,2,56.4,Fair
1193,636,16100000,11600000,906299.0,73.1,47,2594552.0,0.0,5,54.7,Fair
1194,426,300000,1200000,156438.0,44.4,1,86874.0,0.0,3,39.8,Poor
1195,508,17300000,13100000,831109.0,25.5,58,775314.0,0.0,4,52.7,Fair
1196,768,13700000,7700000,652345.0,48.8,20,751265.0,5.0,5,65.2,Fair
1197,667,3900000,2900000,173737.0,66.3,24,127510.0,,3,47.9,Fair
1198,440,5800000,6000000,681566.0,32.5,17,530580.0,0.0,3,41.1,Fair
1199,366,6600000,4500000,761377.0,18.8,35,905525.0,0.0,5,42.6,Fair
1200,383,300000,400000,,,1,34714.0,3.0,2,34.2,Poor
1201,603,200000,200000,,,2,25923.0,4.0,3,41.2,Fair
1202,728,4000000,5500000,312509.0,100.0,23,253311.0,5.0,4,50.5,Fair
1203,549,900000,9800000,548191.0,53.0,4,608101.0,,4,56.8,Fair
1204,855,700000,3100000,,,2,171367.0,,3,57.6,Fair
1205,461,2000000,2000000,,,0,115421.0,,2,28.2,Poor
1206,379,5200000,10000000,613651.0,13.5,24,632825.0,0.0,3,47.5,Fair
1207,559,9800000,5100000,428616.0,77.3,28,678856.0,3.0,5,50.0,Poor
1208,816,300000,200000,19209.0,89.3,4,22852.0,12.0,2,49.5,Fair
1209,560,3900000,3300000,330588.0,47.7,14,371194.0,0.0,2,46.7,Fair
1210,645,1400000,3400000,270915.0,54.2,4,291989.0,,4,48.0,Excellent
1211,551,7600000,5000000,,,8,343709.0,3.0,4,57.2,Fair
1212,515,14700000,7800000,942965.0,75.5,55,1595969.0,0.0,4,58.2,Fair
1213,657,1900000,1100000,,,4,103690.0,1.0,2,49.3,Excellent
1214,682,4400000,1500000,199855.0,70.8,9,171993.0,,4,50.3,Fair
1215,588,100000,300000,,,1,31088.0,,2,49.5,Fair
1216,359,13600000,9400000,1007880.0,0.0,48,1689037.0,0.0,5,53.0,Fair
1217,766,300000,300000,,,1,28025.0,11.0,3,53.7,Fair
1218,469,6800000,3200000,518111.0,34.6,28,489818.0,0.0,3,47.6,Fair
1219,618,200000,500000,,,2,33956.0,,2,47.8,Fair
1220,711,0,7400000,793539.0,61.5,15,611033.0,7.0,3,57.2,Fair
1221,549,8900000,12400000,805171.0,39.2,31,852269.0,5.0,3,51.6,Fair
1222,754,2600000,7600000,426231.0,74.4,12,481396.0,12.0,3,58.1,Fair
1223,461,500000,200000,,,1,48075.0,,5,47.2,Fair
1224,837,1100000,1600000,121203.0,89.4,2,85243.0,12.0,4,56.4,Fair
1225,459,13400000,7200000,986673.0,68.0,52,1567543.0,0.0,4,60.3,Good
1226,614,700000,6300000,652057.0,65.2,10,498104.0,,5,57.3,Fair
1227,373,5100000,6700000,563923.0,0.0,23,549879.0,0.0,4,44.8,Fair
1228,512,2900000,6000000,643266.0,37.4,15,813509.0,1.0,4,56.5,Fair
1229,781,3100000,5800000,824698.0,74.8,38,,,4,49.5,Fair
1230,305,3300000,2000000,155446.0,0.0,4,139621.0,,2,24.5,Poor
1231,447,700000,10900000,620324.0,57.2,18,242222.0,7.0,4,52.7,Fair
1232,757,200000,1500000,77804.0,95.0,4,61281.0,,2,46.3,Fair
1233,723,700000,1400000,,,4,265275.0,,3,51.8,Fair
1234,463,1200000,6600000,,,11,509462.0,0.0,2,51.4,Fair
1235,699,5700000,5200000,583022.0,47.4,5,876797.0,,3,57.7,Fair
1236,308,9300000,10500000,833459.0,0.0,34,1376086.0,0.0,4,51.3,Fair
1237,702,400000,100000,22166.0,87.9,4,20785.0,,4,43.8,Fair
1238,456,16800000,12900000,945686.0,11.0,74,1711632.0,4.0,5,56.9,Fair
1239,651,2100000,1500000,,,3,87244.0,,4,48.8,Fair
1240,840,5900000,4600000,377559.0,92.7,25,312060.0,12.0,3,68.4,Good
1241,848,1700000,1600000,,,17,152752.0,11.0,3,55.7,Good
1242,727,12900000,5800000,644256.0,79.5,31,751722.0,12.0,4,54.9,Fair
1243,335,5200000,2300000,279271.0,22.0,6,216020.0,,4,35.3,Poor
1244,304,500000,400000,25820.0,15.0,1,26382.0,,2,26.9,Poor
1245,712,12500000,5900000,820792.0,79.2,30,515208.0,,5,58.2,Fair
1246,737,2000000,1500000,128438.0,100.0,5,139526.0,7.0,2,48.4,Fair
1247,690,4000000,9100000,666395.0,43.3,8,594284.0,,4,62.1,Good
1248,888,1500000,1300000,70673.0,100.0,3,31959.0,12.0,3,64.7,Good
1249,839,6400000,6000000,749855.0,100.0,31,859831.0,12.0,4,66.3,Good
1250,333,1000000,4000000,258614.0,0.0,14,427409.0,1.0,4,32.1,Poor
1251,862,3500000,5600000,,,21,502547.0,,4,62.1,Good
1252,309,1400000,3400000,208074.0,0.0,1,178460.0,0.0,3,22.9,Poor
1253,823,3700000,13100000,787566.0,81.9,51,559924.0,,5,65.6,Good
1254,649,700000,4800000,275230.0,77.1,9,271779.0,9.0,2,45.2,Fair
1255,726,18900000,12000000,1090457.0,65.9,52,2098572.0,12.0,4,75.7,Good
1256,712,700000,1100000,,,3,36372.0,,3,41.0,Fair
1257,701,16200000,10500000,1061712.0,61.6,54,1189684.0,10.0,4,61.9,Good
1258,655,11600000,5000000,563625.0,84.7,40,574678.0,9.0,4,55.1,Fair
1259,385,5300000,5100000,355367.0,17.8,8,507455.0,,2,43.2,Fair
1260,777,2700000,1400000,138381.0,82.6,11,74970.0,,4,63.8,Good
1261,696,700000,800000,,,1,109437.0,,3,41.6,Fair
1262,496,2200000,2900000,313263.0,60.2,3,447323.0,5.0,5,42.1,Fair
1263,659,1800000,2400000,173147.0,51.8,15,134319.0,,3,41.4,Fair
1264,542,900000,5300000,494868.0,68.6,16,,2.0,3,51.0,Excellent
1265,729,3300000,1300000,174072.0,81.2,32,172730.0,12.0,4,49.6,Fair
1266,744,10500000,7700000,707216.0,77.2,23,1714428.0,4.0,4,60.8,Good
1267,749,3800000,9400000,581950.0,100.0,35,410559.0,12.0,4,57.0,Fair
1268,755,5000000,3700000,377083.0,63.0,4,487560.0,,5,57.6,Fair
1269,506,1700000,2800000,161934.0,32.3,1,110851.0,1.0,2,41.4,Fair
1270,391,3500000,4300000,299395.0,0.0,16,182388.0,0.0,2,34.4,Poor
1271,898,2700000,4500000,,,1,218896.0,,3,61.6,Good
1272,527,600000,200000,35899.0,72.7,4,34929.0,,2,35.1,Poor
1273,470,18400000,14700000,9848475.043496707,62.5,61,1269432.0,0.0,5,62.7,Good
1274,694,14900000,7700000,791907.0,93.4,40,1077590.0,10.0,4,61.0,Good
1275,325,5700000,4300000,446877.0,3.6,17,328005.0,1.0,3,33.3,Poor
1276,880,800000,2800000,447461.0,97.2,21,383772.0,12.0,4,73.5,Good
1277,459,4800000,4200000,270069.0,0.4,6,151208.0,3.0,4,51.3,Fair
1278,323,15500000,11300000,955315.0,43.5,42,,3.0,5,59.8,Fair
1279,739,8100000,8800000,692247.0,87.6,38,705735.0,8.0,4,58.0,Fair
1280,724,1500000,6200000,,,22,568562.0,12.0,4,50.2,Fair
1281,487,1200000,4500000,,,5,258335.0,12.0,2,46.1,Fair
1282,439,7500000,6200000,690137.0,9.5,33,606046.0,,4,52.5,Fair
1283,655,4600000,7900000,931048.0,71.9,37,643254.0,,4,58.2,Fair
1284,443,1100000,4500000,,,4,,4.0,3,28.9,Poor
1285,489,200000,900000,45541.0,47.2,3,,,2,31.8,Poor
1286,427,3800000,3700000,,,1,281296.0,0.0,2,43.1,Fair
1287,417,2000000,5800000,,,8,417489.0,0.0,3,37.2,Poor
1288,842,5000000,8100000,825272.0,98.5,26,377319.0,12.0,4,57.4,Fair
1289,307,10000000,6300000,495201.0,22.9,3,756243.0,0.0,2,38.5,Poor
1290,428,1200000,1100000,98661.0,24.6,1,170768.0,,4,20.5,Poor
1291,415,1800000,7900000,534186.0,36.8,15,713426.0,,4,38.8,Poor
1292,405,2800000,6700000,613443.0,2.3,11,711163.0,1.0,2,40.0,Fair
1293,683,7900000,9600000,,,28,516327.0,,3,59.4,Good
1294,742,600000,4500000,263670.0,68.5,0,197707.0,8.0,3,55.4,Fair
1295,530,200000,1900000,300746.0,56.3,2,253352.0,,3,45.4,Fair
1296,844,2200000,1600000,,,1,92366.0,12.0,2,61.4,Good
1297,715,5600000,2100000,337251.0,87.4,35,210824.0,,4,53.9,Fair
1298,476,6600000,9000000,713144.0,53.0,24,881890.0,0.0,5,40.7,Fair
1299,721,100000,2200000,162268.0,88.5,4,188334.0,,4,49.8,Fair
1300,339,8000000,5800000,,,38,456578.0,,4,37.8,Poor
1301,461,2000000,1700000,203022.0,12.9,2,272319.0,1.0,2,33.8,Poor
1302,556,8300000,5300000,579083.0,47.3,7,643994.0,0.0,3,53.7,Fair
1303,483,5600000,10200000,679915.0,25.1,10,1477318.0,,3,40.5,Fair
1304,406,6300000,3300000,365909.0,15.1,29,601614.0,,3,45.6,Fair
1305,513,18200000,7500000,970805.0,33.1,38,1185618.0,3.0,4,49.1,Fair
1306,574,6200000,3600000,371885.0,32.8,6,,0.0,3,47.9,Fair
1307,692,7000000,5500000,446127.0,35.8,16,467978.0,,4,52.3,Fair
1308,867,14100000,9200000,751935.0,89.4,37,1726008.0,,5,73.4,Good
1309,875,2900000,6500000,937704.0,100.0,31,1187952.0,,4,69.0,Good
1310,597,3200000,11600000,766616.0,30.2,21,737877.0,,4,48.3,Fair
1311,513,8100000,4800000,419565.0,40.2,8,477851.0,,4,46.7,Fair
1312,354,7000000,7900000,642712.0,46.4,33,1014254.0,5.0,4,49.1,Fair
1313,647,9900000,11500000,981690.0,81.6,41,998316.0,12.0,5,67.2,Good
1314,875,14400000,10400000,1004824.0,100.0,52,1020228.0,12.0,5,64.5,Good
1315,819,11700000,4300000,553942.0,100.0,48,837797.0,,3,69.7,Good
1316,521,7100000,4900000,323615.0,62.3,12,301216.0,2.0,5,53.5,Fair
1317,761,3700000,7100000,,,19,424221.0,,5,58.8,Fair
1318,572,1000000,300000,49332.0,38.5,3,59081.0,,3,42.0,Fair
1319,571,11500000,7500000,558182.0,0.7,14,480817.0,2.0,5,49.2,Fair
1320,891,7000000,3300000,,,18,339528.0,,2,56.2,Fair
1321,895,8200000,5200000,421323.0,100.0,31,376406.0,12.0,3,65.9,Good
1322,580,4100000,2100000,170401.0,41.6,27,65907.0,,3,45.9,Fair
